Date range: 01/24/2025 - 03/27/2025,Diag version: v4.0.11.6-RC03,Cycle count 1,,Cycle count 2,,Cycle count 3,,Cycle count 4,,Cycle count 5,
unknown-pcie-location,"PCIe location: '0000:e1:01.7', is not found.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Check repair history, if PCIe cable replaced then replace NIC card
2. If NIC card replaced, then replace PCIe cable",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
Timeout exceeded.,Thread [Thread-83196 (run)] execution exceeded the timeout limit of [1200.000000] seconds.,Retest,1. Retest,Debug 1,1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log,Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe was replaced, then replace NIC card",Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe cable and NIC card have been replaced, then replace mobo",Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe cable and NIC card have been replaced, then replace mobo"
test-completion-missing-error-bus_check,Diag execution failed.,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo"
Validate route of DUT Failed,"Caught AttributeError exception.
Exception message: 'NoneType' object has no attribute 'strip'",Debug 1,"1. Verify keyparts to not have duplicated or missing SNs
2. Ask IT to manually fix any wrong record",Debug 2,"1. Verify keyparts to not have duplicated or missing SNs
2. Ask IT to manually fix any wrong record",Debug 2,"1. Verify keyparts to not have duplicated or missing SNs
2. Ask IT to manually fix any wrong record",Debug 2,"1. Verify keyparts to not have duplicated or missing SNs
2. Ask IT to manually fix any wrong record",Debug 2,"1. Verify keyparts to not have duplicated or missing SNs
2. Ask IT to manually fix any wrong record"
test-completion-missing-error-fan_speed,Diag execution failed.,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo"
test-completion-missing-error-cpu_checker_burnin,Diag execution failed.,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
1.1 If no error seen for dimm, retest for 2nd time
1.2 If error seen for dimm, replace dimm directly",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
1.1 If error seen, replace dimm directly
2. If unit is getting rebooted, isolate for bad dimm
3. Look for all list of symptom labels to confirm real SDC failure.
4. Look for MCE HW error related to CPU, replace mobo"
Create Telnet and SSH connection to DUT failed,"Mobo booting failed.
Log in OVSS fail.",Retest,1. Retest,Debug 1,1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log,Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe was replaced, then replace NIC card",Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe cable and NIC card have been replaced, then replace mobo",Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe cable and NIC card have been replaced, then replace mobo"
pcierrors-high-receiver_error-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-receiver_error-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-receiver_error-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-receiver_error-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-receiver_error-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-receiver_error-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-receiver_error-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-receiver_error-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
DIMM location validation failure,"Component DIMM SN (L)64GB 2RX4 PC5-4800B-RA0-1010-XT(S)80AD032351E10198B2(P)HMCG94MEBRA121N location: DIMM13, expected location: DIMM12",Repair 1,"1. Swap DIMM# to DIMM## in SFC only, not physically",Debug 1,"1. Verify previous repair action
2. Verify DIMM SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Verify DIMM SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Verify DIMM SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Verify DIMM SN is matching SFC and physical label"
Update Foxconn BMC Failed,Send command 'roux-fw-ver.sh' failed.,Retest,1. Retest,Retest,1. Retest,Repair 1,1. Reseat agora,Debug 1,"1. If not able to update BMC offline, replace agora",Debug 2,"1. If not able to update BMC offline, replace agora.
2. If agora was already replaced, confirm mobo issue."
Update Foxconn BMC Failed,"Send command 'curl --fail -o /run/initramfs/image-bmc http://192.168.100.10:9200/Astotia_V2A_BMC_v24.49.0.0_D_H.mtd' failed.
Failure Info:",Retest,1. Retest,Retest,1. Retest,Repair 1,1. Reseat agora,Debug 1,"1. If not able to update BMC offline, replace agora",Debug 2,"1. If not able to update BMC offline, replace agora.
2. If agora was already replaced, confirm mobo isue."
test-completion-missing-error-cpu_functional,Diag execution failed.,Retest,1. Retest,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo"
Pre Diorite firmware check on all slots Failed,No Diorite found under BMC via command 'htool usb list'.,Repair 1,"1. Reseat agora
2. Reseat all PCIe cables",Debug 1,"1. Try new/golden agora
2. Reseat PCIe cable for NIC card(s)",Debug 2,1. Isolate for bad PCIe cable or NIC,Debug 2,"1. Isolate for bad PCIe cable or NIC
2. Visual inspection for PCIe slot on mobo.
3. Confirm mobo replacement",Debug 2,"1. Isolate for bad PCIe cable or NIC
2. Visual inspection for PCIe slot on mobo.
3. Confirm mobo replacement"
Pre Diorite firmware check on all slots Failed,Create SSH connection to '{}' failed.,Repair 1,"1. Reseat agora
2. Reseat all PCIe cables",Debug 1,"1. Try golden agora
2. Reseat PCIe cable for NIC card(s)",Debug 2,1. Isolate for bad PCIe cable or NIC,Debug 2,"1. Isolate for bad PCIe cable or NIC
2. Visual inspection for PCIe slot on mobo.
3. Confirm mobo replacement",Debug 2,"1. Isolate for bad PCIe cable or NIC
2. Visual inspection for PCIe slot on mobo.
3. Confirm mobo replacement"
Attach booting logs to OTC failed.,"Attach booting logs to OTC failed.
msg:Process Error to get this log:/var/log/obmc-console-host.log. Error msg:Command '['sshpass', '-p', '0penBmc', 'scp', 'root@192.168.100.89:/var/log/obmc-console-host.log', '/tmp/FWI2450-18079/']' returned non-zero exit status 1.",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,1. Validate with TE/FAE,Debug 2,1. Validate with TE/FAE
Send command fail: stressapptest -s 30 -m 128 -C 128 -W,"Exception message: 
Traceback (most recent call last):",Retest,1. Retest,Repair 1,1. Reseat all DIMMs,Debug 1,"1. Look for bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm",Debug 2,"1. Look fo bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo",Debug 2,"1. Look fo bad dimm on 'gsys event records list' response
2. If unit is getting rebooted, isolate for bad dimm
3. Look for MCE HW error related to CPU, replace mobo"
Send command fail: /usr/local/bin/gsys -k hardware parts | grep PE | grep nic,"Exception message: 
Traceback (most recent call last):",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Discard unit is rebooting unexpectedly, if that is the case isolate for bad dimm",Debug 2,"1. If unit keeps rebooting after dimm isolation process, confirm mobo replacement"
Mobo boot failed,Something wrong when netboot Mobo. Please check debug log for more detail.,Retest,1. Retest,Debug 1,1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log,Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe was replaced, then replace NIC card",Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe cable and NIC card have been replaced, then replace mobo",Debug 2,"1. Replace PCIe cable showing errors “AER: Corrected error received” on debug log
2. If PCIe cable and NIC card have been replaced, then replace mobo"
ABORTED,,,,,,,,,,,
pcierrors-high-surprise_down_error-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-surprise_down_error-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-surprise_down_error-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-surprise_down_error-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-surprise_down_error-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-surprise_down_error-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-surprise_down_error-rate,"PCIe serial number: 9MC6912O40006, location: 0000:c0:01.1, devpath: /phys/CPU1:device:nbio1.0:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE6 to PE7,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-surprise_down_error-rate,"PCIe serial number: PDFQMB244300424, location: 0000:e1:00.0, devpath: /phys/PE7/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE7 to PE6,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
HB16 firmware check Failed,Send command 'cd /; tar -xvf /tmp/hb16_msvfud.tar' failed.,Retest,1. Retest,Retest,1. Retest,Repair 1,1. Reseat agora,Repair 1,1. Replace agora,Debug 2,"1. Try new/golden agora
2. Confirm mobo replacement"
HB16 firmware check Failed,"Check HB16 version failed
Some HB16 firmware version can not be retrieved.",Repair 2,"1. Look for string ""map_slot_fw_version"" on debug log.
2. Identify HB16 slot with no FW version.
3. Swap HB16 card",Debug 1,"1. Verify if failure is following HB16 card, then replace it.
2. If failure is staying on the same slot, then replace PCIe cable.",Debug 2,"1. Inspect for bent pins on PCIe slot on mobo.
2. Try new/golden HB16 card.
3. Try new/golden PCIe cable.
4. Confirm mobo replacement.",Debug 2,"1. Inspect for bent pins on PCIe slot on mobo.
2. Try new/golden HB16 card.
3. Try new/golden PCIe cable.
4. Confirm mobo replacement.",Debug 2,"1. Inspect for bent pins on PCIe slot on mobo.
2. Try new/golden HB16 card.
3. Try new/golden PCIe cable.
4. Confirm mobo replacement."
The fan count of Config_check_HW is not matched.,"Total number of fan interfaces Expected: 6, Current: 0.5, device_id: , unit:",Repair 1,"1. Visual inspection on Temp sensors, agora and gulp
2. Reseat Temp sensors, agora and Gulp",Debug 1,"1. Verify temp sensors placed on correct position
2. Try new/golden agora and gulp
3. Try new/golden temp sensors
4. Isolate for bad component and replace it",Debug 2,"1. Try new/golden agora and gulp
2. Try new/golden temp sensors
3. Isolate for bad component and replace it
4. Confirm mobo replacement",Debug 2,"1. Try new/golden agora and gulp
2. Try new/golden temp sensors
3. Isolate for bad component and replace it
4. Confirm mobo replacement",Debug 2,"1. Try new/golden agora and gulp
2. Try new/golden temp sensors
3. Isolate for bad component and replace it
4. Confirm mobo replacement"
unexpected-bios-firmware-version,"BIOS firmware version is not expected: actual=999999999.20231002.20410-253, expected=999999999.20240422.83220-0",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Repair 1,1. Replace agora,Debug 2,"1. Verify BIOS update offline is good
2. Try new/golden agora
3. Confirm mobo replacement"
test-completion-missing-error-hwinterface_smoketest,Diag execution failed.,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 1,"1. Discard unit is rebooting unexpectedly, if that is the case isolate for bad dimm",Debug 2,"1. If unit keeps rebooting after dimm isolation process, confirm mobo replacement"
The usb count of Config_check_HW is not matched.,"Total number Usb Expected: 6, Current: 4, device_id: , unit:",Repair 1,1. Reseat agora,Repair 1,1. Replace agora,Debug 1,"1. Visual inspection for agora connector on mobo
2. Moba validation
3. Confirm mobo replacement",Debug 2,"1. Visual inspection for agora connector on mobo
2. Moba validation
3. Confirm mobo replacement",Debug 2,"1. Visual inspection for agora connector on mobo
2. Moba validation
3. Confirm mobo replacement"
Update Foxconn BIOS Failed,"Update BIOS failed.
set the gpio 114 out 1...
Flashing BIOS @/dev/
Flashing the Bios failed in @/dev/
set the gpio 114 out 0...",Repair 1,"1. Visual inspection on agora
1.1 If physical damage found, then replace agora
1.2 If no physical damage found, just reseat the agora
2. Verify BIOS socket on agora is correctly closed",Repair 1,1. Replace agora,Debug 1,"1. Verify BIOS update offline is good
2. Try new/golden agora",Debug 2,"1. Verify BIOS update offline is good
2. Try new/golden agora
3. Confirm mobo replacement",Debug 2,"1. Verify BIOS update offline is good
2. Try new/golden agora
3. Confirm mobo replacement"
Update Foxconn BIOS Failed,"Update BIOS failed.
Exception message: ",Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Repair 1,1. Replace agora,Debug 2,"1. Verify BIOS update offline is good
2. Try new/golden agora
3. Confirm mobo replacement"
pcierrors-high-replay_timer_timeout-rate,"PCIe serial number: PDFQMB244502337, location: 0000:01:00.0, devpath: /phys/PE0/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE0 to PE1,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_timer_timeout-rate,"PCIe serial number: PDFCTH242301197, location: 0000:21:00.0, devpath: /phys/PE1/IO0:device:dna:lan pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE1 to PE0,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_timer_timeout-rate,"PCIe serial number: RC164-2293 244517684, location: 0000:41:00.0, devpath: /phys/PE2/IO0:device:0000_41_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE2 to PE3,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_timer_timeout-rate,"PCIe serial number: 9ADK332Q40030, location: 0000:60:01.1, devpath: /phys/CPU0:device:nbio1.1:pcie_root@bridge:port1.1 pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE3 to PE2,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_timer_timeout-rate,"PCIe serial number: 2468056-1 244775946, location: 0000:81:00.0, devpath: /phys/PE4/IO0:device:0000_81_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE4 to PE5,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
pcierrors-high-replay_timer_timeout-rate,"PCIe serial number: 2468056-1 244805404, location: 0000:a1:00.0, devpath: /phys/PE5/IO0:device:0000_a1_00_0_11f8_4100_11f8_beef pcie error, Error Types: 'LANE_ERROR' are exceeding thresholds.",Repair 2,1. Swap PCIe cable PE5 to PE4,Repair 2,"1. Failure following cable, replace PCIe cable
2. Failure following NIC/HB16, replace NIC/HB16
",Debug 1,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo",Debug 2,"1. Unit keep failing with new PCIe cable or NIC/HB16, confirm mobo issue, replace mobo"
